1|370;669;773;183;910;809;670;
2|798;81;87;443;469;12;236;
3|739;628;862;23;421;127;770;260;376;462;864;
4|25;16;756;372;205;838;21;
5|129;463;191;377;30;629;401;661;36;110;
6|237;398;746;575;574;860;120;70;740;588;43;
7|152;624;699;341;834;305;332;743;711;933;506;
8|195;803;791;27;938;884;686;245;
9|365;697;83;489;
10|61;268;169;252;378;468;528;425;331;816;750;314;341;795;
11|23;158;111;89;329;
12|2;597;690;13;765;472;790;609;248;164;278;
13|699;715;334;645;12;
14|772;718;503;197;
15|857;52;83;273;136;571;873;
16|479;216;4;412;278;310;630;
17|338;263;508;615;307;568;109;851;
18|209;868;164;527;
19|764;671;346;772;517;695;722;565;504;593;796;656;44;290;777;
20|154;572;24;246;489;290;900;
21|297;317;840;23;942;208;424;4;555;
22|237;901;358;826;783;489;231;665;
23|155;11;674;136;499;105;837;21;3;
24|323;20;146;167;560;848;387;54;330;610;
25|63;38;339;216;196;147;215;4;164;205;348;326;
26|427;897;106;320;590;41;60;175;308;541;387;711;
27|584;431;58;695;300;8;
28|673;649;
29|439;
30|553;59;600;5;839;227;
31|651;386;110;899;298;444;417;
32|69;636;854;719;
33|147;363;
34|927;209;656;943;354;768;416;
35|419;647;
36|760;765;866;508;142;5;51;161;257;89;
37|234;313;341;634;464;793;410;224;712;675;
38|483;25;937;352;246;561;930;441;940;
39|323;921;100;850;625;454;326;
40|79;862;50;66;638;576;456;259;839;870;342;
41|385;720;130;357;26;589;56;775;934;499;841;
42|172;593;690;430;915;576;261;348;330;851;
43|935;6;368;812;518;678;819;167;871;616;292;
44|536;366;369;475;467;19;112;360;854;454;330;925;
45|812;271;676;652;848;851;294;
46|288;317;255;
47|866;336;652;277;594;
48|366;739;843;583;199;619;122;574;280;266;
49|585;365;772;59;641;470;
50|817;343;40;60;748;469;705;277;201;604;858;658;
51|323;918;606;414;754;482;36;110;92;
52|237;492;880;15;296;228;844;
53|437;615;647;750;
54|653;442;479;396;24;296;416;
55|413;772;908;205;104;218;
56|390;195;305;202;511;41;84;109;251;
57|824;825;
58|801;202;299;401;27;167;601;92;673;118;403;656;111;312;
59|935;556;699;263;30;656;49;737;345;768;
60|404;166;50;26;126;303;654;
61|143;408;10;159;868;
62|79;835;694;252;564;265;752;227;787;539;652;140;99;598;
63|25;936;
64|418;882;334;414;534;782;99;316;680;785;549;
65|207;877;662;670;133;613;712;532;548;717;724;326;361;
66|73;464;619;40;448;594;
67|390;419;389;188;880;684;908;98;864;870;
68|578;362;812;262;792;590;592;97;397;558;
69|434;896;664;32;409;
70|927;6;445;720;917;428;241;807;
71|390;927;121;468;
72|355;937;870;
73|319;66;932;
74|143;942;639;
75|886;340;269;460;346;443;203;465;255;
76|207;341;166;879;468;732;
77|500;505;353;192;146;644;598;
78|820;763;478;943;920;
79|237;349;171;649;610;596;402;663;146;40;62;527;856;
80|383;563;532;547;
81|540;2;747;550;243;246;411;
82|602;273;844;245;643;552;405;264;458;494;128;539;859;
83|143;396;15;767;302;9;735;860;940;736;
84|435;56;
85|798;831;794;
86|726;370;791;511;816;
87|2;796;183;545;372;934;
88|
89|11;219;633;909;400;625;36;411;105;345;289;854;574;547;
90|921;194;392;412;
91|149;634;901;770;157;386;281;930;871;
92|58;51;342;
93|671;447;196;906;218;838;
94|165;125;811;589;122;
95|156;461;
96|359;
97|372;257;68;
98|234;67;906;525;296;659;
99|172;763;243;64;778;928;203;176;62;444;
100|129;209;756;635;163;39;
101|318;762;535;393;
102|148;165;548;
103|843;287;258;822;229;
104|902;55;556;289;507;352;641;
105|321;165;23;320;436;89;
106|191;256;26;828;509;
107|722;729;229;113;
108|463;396;941;620;
109|344;131;17;307;56;
110|273;460;754;51;436;386;31;385;405;638;5;158;193;
111|11;567;124;58;174;235;516;284;
112|384;578;811;410;44;416;
113|107;
114|621;520;443;372;495;397;
115|480;178;795;768;251;
116|186;922;619;438;541;
117|487;559;519;802;
118|500;58;
119|552;313;614;494;937;515;658;510;838;
120|6;149;572;305;426;677;218;342;
121|874;289;247;526;71;570;227;522;
122|94;48;176;730;275;598;
123|383;133;839;688;
124|125;539;443;641;780;753;111;266;736;
125|152;94;124;772;215;232;281;728;
126|165;300;488;157;60;569;
127|239;486;458;812;406;372;780;3;
128|149;82;
129|540;437;207;901;809;401;625;753;483;505;100;5;233;158;890;652;889;660;885;
130|243;293;344;422;400;41;650;930;462;
131|715;832;139;346;153;295;913;541;109;331;
132|796;580;519;906;422;681;782;737;814;
133|239;65;421;716;525;123;433;
134|898;784;271;200;869;497;714;375;
135|524;256;252;232;547;895;785;744;251;
136|182;23;15;692;629;895;206;900;856;444;
137|801;470;
138|
139|131;529;300;652;399;740;
140|178;633;817;192;721;299;295;62;510;
141|745;
142|405;490;36;865;
143|74;61;83;343;613;695;599;905;331;
144|857;203;
145|378;238;511;168;225;
146|384;79;862;154;77;24;529;394;292;
147|596;25;760;513;917;575;392;613;352;681;780;33;
148|102;246;627;266;
149|668;866;221;128;605;622;91;120;816;
150|412;417;
151|671;779;219;382;778;890;714;806;599;889;893;
152|125;663;332;499;416;7;
153|907;800;452;749;762;622;625;304;359;501;131;260;641;889;
154|653;874;882;20;587;318;349;491;174;146;489;
155|764;734;23;685;279;899;
156|449;634;95;689;
157|874;497;126;91;
158|129;11;223;915;681;110;586;696;659;838;
159|61;332;895;
160|269;316;380;
161|578;321;252;778;300;36;423;
162|220;173;850;908;
163|181;100;
164|195;25;836;834;233;591;295;12;18;
165|102;94;126;770;259;105;
166|898;492;76;271;497;238;60;316;
167|501;914;490;216;58;24;43;
168|319;145;822;524;618;677;709;205;740;348;729;
169|487;927;502;763;10;716;867;495;229;284;837;
170|385;580;678;674;702;
171|487;288;79;611;703;785;750;
172|179;760;614;887;613;619;214;99;735;411;42;
173|500;405;431;701;613;407;929;495;650;646;162;558;
174|419;891;154;337;494;681;477;441;111;
175|500;781;26;909;
176|764;198;832;377;122;99;348;429;
177|585;421;267;656;503;315;
178|597;551;761;906;778;379;883;677;140;842;115;
179|172;843;301;216;804;545;791;265;588;
180|927;487;505;756;723;514;
181|942;295;679;604;163;
182|486;136;
183|467;87;279;474;1;777;871;
184|239;336;490;793;328;
185|715;285;
186|370;857;830;614;918;250;517;204;328;116;506;
187|270;367;674;677;610;
188|413;67;740;251;
189|239;231;230;
190|382;491;230;
191|731;628;792;5;676;106;211;693;281;462;666;
192|459;77;140;
193|892;452;579;110;506;
194|902;690;891;378;564;328;90;
195|643;378;793;56;164;290;8;
196|288;595;25;93;678;254;738;260;
197|926;502;628;583;607;817;14;811;225;504;827;
198|596;413;340;456;176;397;719;654;
199|892;507;349;48;241;548;541;228;
200|390;886;826;134;542;228;361;
201|927;50;545;466;681;503;884;
202|671;902;293;58;246;56;930;446;
203|915;144;803;99;280;842;75;
204|726;186;684;858;298;
205|788;55;25;252;4;568;168;308;275;331;
206|758;746;887;811;454;136;236;315;
207|129;65;815;76;746;612;618;454;718;534;666;266;
208|486;389;237;395;456;260;568;316;420;21;
209|800;34;223;784;581;100;525;722;943;310;18;920;
210|488;416;
211|314;191;581;814;
212|247;439;793;496;
213|407;
214|931;172;747;624;404;240;491;
215|25;655;633;125;575;226;570;718;680;740;794;
216|179;578;25;16;367;509;167;510;
217|381;238;
218|366;55;715;93;381;531;493;120;
219|615;809;477;151;729;89;
220|325;798;383;621;636;917;576;775;162;411;294;
221|149;581;890;718;281;224;
222|830;612;664;349;521;642;525;673;831;458;787;880;921;422;360;
223|209;158;
224|843;221;37;795;
225|145;683;575;868;197;442;583;793;709;542;708;512;266;
226|815;215;884;
227|121;30;322;260;62;
228|52;199;392;200;
229|169;663;374;103;107;309;444;
230|390;339;443;190;438;189;
231|22;817;538;590;627;844;688;736;189;391;
232|655;611;125;497;135;724;827;
233|129;849;164;411;
234|701;524;448;98;37;309;774;312;
235|584;882;914;667;111;
236|540;2;553;321;869;904;489;387;586;206;829;
237|487;79;22;6;341;52;553;467;208;466;681;532;
238|145;166;793;217;657;838;
239|907;396;184;427;127;133;482;376;189;
240|401;656;214;440;
241|902;287;471;199;394;644;70;251;
242|676;493;
243|264;287;130;81;809;358;99;
244|413;918;840;834;662;627;493;423;257;537;654;
245|781;82;806;8;326;
246|731;38;148;20;81;202;360;852;482;506;257;
247|475;121;473;212;278;654;
248|927;383;912;12;
249|633;367;299;512;
250|186;434;422;
251|188;336;241;56;912;630;135;292;115;
252|382;10;161;62;205;135;888;557;
253|418;464;358;
254|779;442;447;196;257;
255|540;365;367;738;46;75;503;750;
256|486;106;527;135;516;837;312;
257|254;937;246;97;36;244;
258|862;285;710;352;103;
259|935;165;40;
260|270;196;208;803;307;279;153;227;510;665;3;
261|419;850;864;417;736;42;
