1|7|0.45
1|6|0.34
1|1|0.07
1|3|0.84
1|18381|0.17
1|4|0.32
1|2|0.49
2|7|0.89
2|6|0.94
2|1|0.27
2|3|0.46
2|18381|0.73
2|4|0.16
2|2|1.0
3|7|0.37
3|6|0.41
3|1|0.53
3|3|0.89
3|18381|0.55
3|4|0.65
3|2|0.4
4|7|0.26
4|6|0.52
4|1|0.04
4|3|0.36
4|18381|0.46
4|4|0.76
4|2|0.63
5|7|0.87
5|6|0.03
5|1|0.38
5|3|0.53
5|18381|0.53
5|4|0.38
5|2|0.51
6|7|0.66
6|6|0.68
6|1|0.07
6|3|0.07
6|18381|0.98
6|4|0.35
6|2|0.92
7|7|0.28
7|6|0.17
7|1|0.44
7|3|0.06
7|18381|0.85
7|4|0.82
7|2|0.23
8|7|0.69
8|6|0.71
8|1|0.89
8|3|0.64
8|18381|0.13
8|4|0.09
8|2|0.3
9|7|0.86
9|6|0.48
9|1|0.76
9|3|0.81
9|18381|0.37
9|4|0.95
9|2|0.61
10|7|0.64
10|6|0.16
10|1|0.36
10|3|0.18
10|18381|0.11
10|4|0.98
10|2|0.61
11|7|0.14
11|6|0.88
11|1|0.65
11|3|0.26
11|18381|0.5
11|4|0.18
11|2|0.88
12|7|0.9
12|6|0.94
12|1|0.68
12|3|0.42
12|18381|0.0
12|4|0.27
12|2|0.24
13|7|0.74
13|6|0.31
13|1|0.6
13|3|0.85
13|18381|0.56
13|4|0.88
13|2|0.31
14|7|0.51
14|6|0.32
14|1|0.24
14|3|0.56
14|18381|0.88
14|4|0.74
14|2|0.15
15|7|0.89
15|6|0.73
15|1|0.82
15|3|0.62
15|18381|0.87
15|4|0.27
15|2|0.42
16|7|0.31
16|6|0.26
16|1|0.92
16|3|0.45
16|18381|0.52
16|4|0.75
16|2|0.25
17|7|0.79
17|6|0.02
17|1|0.73
17|3|0.89
17|18381|0.65
17|4|0.48
17|2|0.94
18|7|0.25
18|6|0.12
18|1|0.0
18|3|0.2
18|18381|0.15
18|4|0.57
18|2|0.52
19|7|0.84
19|6|0.53
19|1|0.69
19|3|0.69
19|18381|0.48
19|4|0.2
19|2|0.1
20|7|0.19
20|6|0.62
